Exemplo de arquivo .csv com formato alternativo:
- colunas separadas por ";"
- decimal como ","

Dados retirados em 2021-01-13
Origem: www.funkysite.com.br

COD.UF;COD;NOME;state;SIGLA;number_col
43;4322251;Tupandi;Rio Grande do Sul; RS;60,0484454073012
23;2304350;Forquilha;Ceará; CE;95,138276158832
31;3138708;Luminárias;Minas Gerais; MG;26,9431311869994
43;4302220;Boa Vista do Cadeado;Rio Grande do Sul; RS;65,8838391071185
41;4101101;Andirá;Paraná; PR;7,6471213484183
43;4320859;Tabaí;Rio Grande do Sul; RS;7,1285207523033
22;2204402;Gilbués;Piauí; PI;37,0331519981846
31;3108008;Bom Sucesso;Minas Gerais; MG;29,7102200333029
35;3541000;Praia Grande;São Paulo; SP;55,1078272052109
51;5107875;Sapezal;Mato Grosso; MT;36,9890588568524
31;3120409;Cristiano Otoni;Minas Gerais; MG;84,5689531881362
31;3140605;Materlândia;Minas Gerais; MG;62,0790702756494
43;4316709;Santa Bárbara do Sul;Rio Grande do Sul; RS;39,9140022229403
25;2513901;São Bento;Paraíba; PB;29,966152831912
24;2407807;Monte Alegre;Rio Grande do Norte; RN;38,1119836587459
52;5214804;Nova Aurora;Goiás; GO;70,1134936418384
29;2903235;Barro Alto;Bahia; BA;94,6865290636197
52;5208004;Formosa;Goiás; GO;77,2828320972621
35;3510302;Capela do Alto;São Paulo; SP;21,9550161622465
51;5104906;Jangada;Mato Grosso; MT;71,6110362438485
23;2313203;Tamboril;Ceará; CE;66,4217964746058
31;3145851;Oratórios;Minas Gerais; MG;70,6250201212242
17;1702554;Augustinópolis;Tocantins; TO;27,9627993237227
32;3204708;São Gabriel da Palha;Espírito Santo; ES;71,2250495096669
24;2413102;Senador Elói de Souza;Rio Grande do Norte; RN;66,0942108370364
29;2929909;Seabra;Bahia; BA;4,10126887727529
43;4315172;Protásio Alves;Rio Grande do Sul; RS;6,11414948944002
31;3151107;Pirapetinga;Minas Gerais; MG;27,9761692974716
25;2503308;Cachoeira dos Índios;Paraíba; PB;30,1967717008665
43;4312104;Mata;Rio Grande do Sul; RS;95,6610830035061
17;1703107;Barrolândia;Tocantins; TO;38,9818718889728
35;3508900;Caiabu;São Paulo; SP;37,178878672421
22;2210904;Socorro do Piauí;Piauí; PI;84,3142486177385
31;3156205;Rochedo de Minas;Minas Gerais; MG;84,7235000459477
42;4200556;Águas Frias;Santa Catarina; SC;31,9331152597442
31;3122504;dom Cavati;Minas Gerais; MG;13,2506046444178
